wikitree_id,name,first_name,middle_name,last_name_at_birth,birth_date,birth_year,birth_location,death_date,death_year,death_location,wikitree_url
Batt-218,Christopher,Christopher,,Batt,1601-07-06,1601,"Salisbury, Wiltshire, England",1661-08-10,1661,"Boston, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Batt-218
Batte-33,Henry,Henry,,Batte,1643-00-00,1643,"Birstall, Yorkshire, England",1699-04-00,1699,"Charles City County, Colony of Virginia",https://www.wikitree.com/wiki/Batte-33
Batte-58,Thomas,Thomas,,Batte,1642-00-00,1642,"Birstall, Yorkshire, England",1695-06-06,1695,"Charles City County, Virginia",https://www.wikitree.com/wiki/Batte-58
Baynard-59,John,John,,Baynard,1640-08-24,1640,"Blagdon, Somerset, England",1704-11-13,1704,Province of Maryland,https://www.wikitree.com/wiki/Baynard-59
Beresford-18,Dorothy,Dorothy,,Beresford,1612-01-09,1612,"Kent, England",1657-07-23,1657,"York County, Virginia",https://www.wikitree.com/wiki/Beresford-18
Berkeley-448,William,William,,Berkeley,1608-07-16,1608,"Hanworth Manor, Middlesex, England",1677-07-09,1677,"London, England",https://www.wikitree.com/wiki/Berkeley-448
Bernard-103,Richard,Richard,,Bernard,1608-00-00,1608,England,1651-00-00,1651,Virginia,https://www.wikitree.com/wiki/Bernard-103
Bernard-131,William,William,,Bernard,1603-00-00,1603,"Kingsthorpe, Northamptonshire, England",1665-03-31,1665,Virginia,https://www.wikitree.com/wiki/Bernard-131
Beville-27,Essex,Essex,,Beville,1640-03-15,1640,"Chesterton, Huntingdonshire, England",1682-11-09,1682,"Henrico County, Virginia",https://www.wikitree.com/wiki/Beville-27
Bickley-37,Joseph,Joseph,,Bickley,1679-00-00,1679,"Attleborough, Norfolk, England",1751-12-00,1751,"Louisa County, Virginia",https://www.wikitree.com/wiki/Bickley-37
Bladen-4,William,William,,Bladen,1673-02-27,1673,"Steeton, Yorkshire, England",1718-08-09,1718,"Annapolis, Anne Arundel, Maryland",https://www.wikitree.com/wiki/Bladen-4
Blakiston-12,George,George,,Blakiston,1612-03-01,1612,England,1669-09-30,1669,"St. Mary's County, Province of Maryland",https://www.wikitree.com/wiki/Blakiston-12
Blakiston-11,Nehemiah,Nehemiah,,Blakiston,1640-00-00,1640,England,1693-12-11,1693,"St. Mary's, Province of Maryland",https://www.wikitree.com/wiki/Blakiston-11
Bolles-5,Joseph,Joseph,,Bolles,1609-02-19,1609,"Worksop, Nottinghamshire, England",1678-11-29,1678,"Wells, York County, Maine",https://www.wikitree.com/wiki/Bolles-5
Booth-1645,Thomas,Thomas,,Booth,1663-08-14,1663,"Chester, Cheshire, England",1736-10-11,1736,"Gloucester, Virginia",https://www.wikitree.com/wiki/Booth-1645
Bosvile-3,Elizabeth,Elizabeth,,Bosvile,1617-00-00,1617,England,1659-08-25,1659,"Bures, Essex, England",https://www.wikitree.com/wiki/Bosvile-3
Bourchier-404,Mary,Mary,,Bourchier,1596-00-00,1596,"Lambeth, Surrey, England",1626-00-00,1626,,https://www.wikitree.com/wiki/Bourchier-404
Brent-190,George,George,,Brent,1640-00-00,1640,England,1694-00-00,1694,"Woodstock, Stafford County, Colony of Virginia",https://www.wikitree.com/wiki/Brent-190
Brent-31,Giles,Giles,,Brent,1600-00-00,1600,England,1672-02-15,1672,"Stafford County, Colony of Virginia",https://www.wikitree.com/wiki/Brent-31
Brent-317,Robert,Robert,,Brent,1660-00-00,1660,England,1696-01-19,1696,"Stafford County, Virginia Colony",https://www.wikitree.com/wiki/Brent-317
Bressey-3,Thomas,Thomas,,Bressey,1601-11-08,1601,"Maulden, Bedfordshire, England",1646-05-11,1646,"New Haven, New Haven, Connecticut",https://www.wikitree.com/wiki/Bressey-3
Bromfield-23,Edward,Edward,,Bromfield,1649-01-10,1649,"Heywood, Hampshire, England",1734-06-02,1734,"Boston, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Bromfield-23
Brown-3264,Nathaniel,Nathaniel,,Brown,1625-00-00,1625,England,1658-08-26,1658,"Middletown, Connecticut",https://www.wikitree.com/wiki/Brown-3264
Bruen-24,Obadiah,Obadiah,,Bruen,1606-12-25,1606,"Tarvin, Cheshire, England",1681-04-08,1681,"Newark, New Jersey",https://www.wikitree.com/wiki/Bruen-24
Bulkeley-204,Elizabeth,Elizabeth,,Bulkeley,1579-00-00,1579,"Odell, Bedfordshire, England",1643-10-14,1643,"Boston, Suffolk, Massachusetts Bay",https://www.wikitree.com/wiki/Bulkeley-204
Bulkeley-174,Martha,Martha,,Bulkeley,1572-00-00,1572,"Odell, Bedfordshire, England",0000-00-00,,"Charlestown, Massachusetts Bay",https://www.wikitree.com/wiki/Bulkeley-174
Bulkeley-4,Peter,Peter,,Bulkeley,1583-01-31,1583,"Odell, Bedfordshire, England",1659-03-09,1659,"Concord, Middlesex, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Bulkeley-4
Bull-10,Stephen,Stephen,,Bull,1635-11-30,1635,"Warwickshire, England",1706-00-00,1706,"Berkeley County, Province of Carolina",https://www.wikitree.com/wiki/Bull-10
Burrough-39,Nathaniel,Nathaniel,,Burrough,1620-00-00,1620,"Pettaugh, Suffolk, England",1683-03-06,1683,"Stepney, Middlesex, England",https://www.wikitree.com/wiki/Burrough-39
Butler-27801,Elizabeth,Elizabeth,,Butler,1612-00-00,1612,"Essex, England",1669-00-00,1669,Colony of Virginia,https://www.wikitree.com/wiki/Butler-27801
Butler-2128,Thomas,Thomas,,Butler,1606-00-00,1606,"Essex, England",1647-01-16,1647,Maryland,https://www.wikitree.com/wiki/Butler-2128
Calthorpe-140,Christopher,Christopher,,Calthorpe,1605-04-21,1605,"Norfolk, England",1662-04-24,1662,"Carolina, America",https://www.wikitree.com/wiki/Calthorpe-140
Calvert-613,Charles,Charles,,Calvert,1637-08-27,1637,England,1715-02-21,1715,England,https://www.wikitree.com/wiki/Calvert-613
Calvert-24,Leonard,Leonard,,Calvert,1606-00-00,1606,"London, England",1647-06-09,1647,"St Mary's County, Province of Maryland",https://www.wikitree.com/wiki/Calvert-24
Carleton-464,Edward,Edward,,Carleton,1610-10-20,1610,"Beeford, Yorkshire, England",1651-05-22,1651,England,https://www.wikitree.com/wiki/Carleton-464
Chauncey-8,Charles,Charles,,Chauncey,1592-11-05,1592,"Ardeley, Hertfordshire, England",1672-02-19,1672,"Cambridge, Suffolk, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Chauncey-8
Cheseldine-14,Kenelm,Kenelm,,Cheseldine,1640-00-00,1640,"Rutland, England",1708-12-18,1708,Maryland,https://www.wikitree.com/wiki/Cheseldine-14
Chetwood-1,Grace,Grace,,Chetwood,1602-00-00,1602,England,1669-04-21,1669,"New London, Connecticut Colony",https://www.wikitree.com/wiki/Chetwood-1
Clarke-3494,Jeremy,Jeremy,,Clarke,1605-12-01,1605,"East Farleigh, Kent, England",1652-01-00,1652,"Newport, Rhode Island",https://www.wikitree.com/wiki/Clarke-3494
Clarkson-657,Matthew,Matthew,,Clarkson,1664-00-00,1664,England,1702-06-20,1702,"Jamaica, Long Island, New York",https://www.wikitree.com/wiki/Clarkson-657
Claypoole-34,Edward,Edward,,Claypoole,1636-00-00,1636,England,1692-11-05,1692,Barbados,https://www.wikitree.com/wiki/Claypoole-34
Claypoole-5,James,James,,Claypoole,1634-10-00,1634,England,1687-08-06,1687,"Philadelphia, Philadelphia County, Pennsylvania Colony",https://www.wikitree.com/wiki/Claypoole-5
Claypoole-29,Norton,Norton,,Claypoole,1640-10-16,1640,"London, England",1688-05-15,1688,"Lewes, Sussex, Delaware",https://www.wikitree.com/wiki/Claypoole-29
Clopton-42,William,William,,Clopton,1655-00-00,1655,"Rettendon, Essex, England",1732-09-29,1732,"St. Peter's Parish, New Kent County, Colony of Virginia, America",https://www.wikitree.com/wiki/Clopton-42
Codd-38,Saint Leger,Saint Leger,,Codd,1638-11-23,1638,"Kent, England",1706-11-07,1706,"Cecil, Province of Maryland",https://www.wikitree.com/wiki/Codd-38
Cooke-896,Elizabeth,Elizabeth,,Cooke,1602-00-00,1602,"Seaton, Devon, England",1682-00-00,1682,"Essex, Massachusetts",https://www.wikitree.com/wiki/Cooke-896
Corbin-100,Henry,Henry,,Corbin,1629-00-00,1629,"Hall End, Warwickshire, England",1676-01-08,1676,"Buckingham House, Middlesex County, Virginia",https://www.wikitree.com/wiki/Corbin-100
Cordray-34,Anna,Anna,,Cordray,1609-04-29,1609,"Chute, Wiltshire, England",1671-09-25,1671,"Purton, Petsoe Parish, Gloucester County, Colony of Virginia",https://www.wikitree.com/wiki/Cordray-34
Covert-114,Elizabeth,Elizabeth,,Covert,1610-00-00,1610,"Boxley, Kent, England",1654-08-30,1654,"Sussex, England",https://www.wikitree.com/wiki/Covert-114
Coytemore-1,Elizabeth,Elizabeth,,Coytemore,1617-00-00,1617,England,1649-01-00,1649,"Boston, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Coytemore-1
Coytemore-4,Thomas,Thomas,,Coytemore,1612-00-00,1612,"Prittlewell, Essex, England",1644-12-27,1644,At Sea,https://www.wikitree.com/wiki/Coytemore-4
Crymes-17,William,William,,Crymes,1665-00-00,1665,"Peckham, Surrey, England",1712-11-24,1712,"Gloucester County, Virginia",https://www.wikitree.com/wiki/Crymes-17
Culpeper-91,John,John,,Culpeper,1606-00-00,1606,"Harrietsham, Kent, England",1675-00-00,1675,"Northumberland County, Virginia",https://www.wikitree.com/wiki/Culpeper-91
Culpepper-74,Thomas,Thomas,,Culpepper,1602-00-00,1602,"Kent, England",1652-00-00,1652,"Northern Neck, Virginia Colony",https://www.wikitree.com/wiki/Culpepper-74
Dade-7,Francis,Francis,,Dade,1622-00-00,1622,"Tannington, Suffolk, England",1663-05-01,1663,at sea,https://www.wikitree.com/wiki/Dade-7
Davie-321,Humphrey,Humphrey,,Davie,1625-08-24,1625,"Sandford, Devon, England",1689-02-18,1689,"Hartford, Connecticut",https://www.wikitree.com/wiki/Davie-321
Deighton-6,Jane,Jane,,Deighton,1609-04-05,1609,"Gloucester, Gloucestershire, England",1671-00-00,1671,"Boston, Massachusetts",https://www.wikitree.com/wiki/Deighton-6
Deighton-7,Katherine,Katherine,,Deighton,1615-01-16,1615,"Gloucester, Gloucestershire, England",1671-08-29,1671,"Dedham, Suffolk, Massachusetts Bay",https://www.wikitree.com/wiki/Deighton-7
Derehaugh-1,Anne,Anne,,Derehaugh,1585-00-00,1585,"Badingham, Suffolk, England",1642-07-00,1642,"Salem, Essex, Massachusetts",https://www.wikitree.com/wiki/Derehaugh-1
Digges-14,Edward,Edward,,Digges,1621-03-24,1621,"Chilham, Kent, England",1675-03-15,1675,"York, Virginia",https://www.wikitree.com/wiki/Digges-14
Dighton-45,Frances,Frances,,Dighton,1612-03-01,1612,"Gloucester, Gloucestershire, England",1706-03-07,1706,"Taunton, Bristol County, Province of Massachusetts Bay",https://www.wikitree.com/wiki/Dighton-45
Domville-1,Margaret,Margaret,,Domville,1610-00-00,1610,"Lymm, Cheshire, England",1667-00-00,1667,"Charles County, Province of Maryland",https://www.wikitree.com/wiki/Domville-1
Drake-15,Robert,Robert,,Drake,1598-00-00,1598,England,1637-00-00,1637,"Accomack County, Virginia",https://www.wikitree.com/wiki/Drake-15
Dudley-129,Thomas,Thomas,,Dudley,1576-10-12,1576,"Yardley Hastings, Northamptonshire, England",1653-07-31,1653,"Roxbury, Suffolk, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Dudley-129
Duncanson-24,Catharine,Catharine,,Duncanson,1621-04-15,1621,"Alloa, Clackmannanshire, Scotland",1684-08-12,1684,"Scotia, Albany County, New York",https://www.wikitree.com/wiki/Duncanson-24
Duncanson-20,Margaret,Margaret,,Duncanson,1618-03-17,1618,"Alloa, Clackmannanshire, Scotland",1662-12-07,1662,"Beverwyck, New Netherland",https://www.wikitree.com/wiki/Duncanson-20
Elkington-8,George,George,,Elkington,1650-12-07,1650,"Mollington, Oxfordshire, England",1713-10-19,1713,"Burlington, New Jersey",https://www.wikitree.com/wiki/Elkington-8
Eltonhead-5,Agatha,Agatha,,Eltonhead,1623-02-10,1623,"Prescot, Lancashire, England",1683-03-05,1683,"Rosegill, Middlesex, Virginia Colony",https://www.wikitree.com/wiki/Eltonhead-5
Eltonhead-7,Alice,Alice,,Eltonhead,1627-00-00,1627,"Lancashire, England",1684-03-23,1684,Colony of Virginia,https://www.wikitree.com/wiki/Eltonhead-7
Eltonhead-6,Eleanor,Eleanor,,Eltonhead,1612-00-00,1612,"Lancashire, England",1656-02-00,1656,Colony of Virginia,https://www.wikitree.com/wiki/Eltonhead-6
Eltonhead-2,Jane,Jane,,Eltonhead,1622-03-23,1622,"Prescot, Lancashire, England",1660-12-12,1660,"Calvert County, Province of Maryland",https://www.wikitree.com/wiki/Eltonhead-2
Eltonhead-12,Martha,Martha,,Eltonhead,1613-00-00,1613,"Prescot, Lancashire, England",1653-01-28,1653,Virginia,https://www.wikitree.com/wiki/Eltonhead-12
Farrar-393,William,William,,Farrar,1583-04-28,1583,"Croxton Parish, Lincolnshire, England",1637-06-11,1637,Colony of Virginia,https://www.wikitree.com/wiki/Farrar-393
Fenwick-267,John,John,,Fenwick,1620-00-00,1620,"Northumberland, England",1683-12-17,1683,"Salem, Province of New Jersey",https://www.wikitree.com/wiki/Fenwick-267
Filmer-6,Henry,Henry,,Filmer,1600-00-00,1600,"East Sutton, Kent, England",1671-02-21,1671,"Mulberry Island, Warwick County, Colony of Virginia",https://www.wikitree.com/wiki/Filmer-6
Fisher-6749,John,John,,Fisher,1601-03-07,1601,"Pluckley, Kent, England",1640-03-23,1640,"Northampton County, Colony of Virginia",https://www.wikitree.com/wiki/Fisher-6749
Fleete-1,Henry,Henry,,Fleete,1604-02-19,1604,"Great Chart, Kent, England",1661-05-08,1661,Colony of Virginia,https://www.wikitree.com/wiki/Fleete-1
Foliot-56,Edward,Edward,,Foliot,1609-11-07,1609,"Severn Stoke, Worcestershire, England",1690-07-24,1690,"York County, Virginia Colony",https://www.wikitree.com/wiki/Foliot-56
Fowke-26,Gerard,Gerard,,Fowke,1629-00-00,1629,"Gunston, Staffordshire, England",1669-10-30,1669,"Charles County, Province of Maryland",https://www.wikitree.com/wiki/Fowke-26
Gerard-13,Thomas,Thomas,,Gerard,1608-12-10,1608,"Ashton in Makerfield, Lancashire, England",1673-10-16,1673,"Lower Machodoc, Westmoreland County, Virginia",https://www.wikitree.com/wiki/Gerard-13
Goddard-177,William,William,,Goddard,1628-02-28,1628,"Inglesham, Wiltshire, England",1691-10-26,1691,"Watertown, Middlesex, Massachusetts Bay Province",https://www.wikitree.com/wiki/Goddard-177
Greene-398,Thomas,Thomas,,Greene,1609-03-27,1609,"Bobbing, Kent, England",1652-01-20,1652,"St Mary's County, Province of Maryland",https://www.wikitree.com/wiki/Greene-398
Gurdon-2,Muriel,Muriel,,Gurdon,1613-00-00,1613,"Assington, Suffolk, England",1688-00-00,1688,"Lancashire, England",https://www.wikitree.com/wiki/Gurdon-2
Gye-3,Mary,Mary,,Gye,1580-00-00,1580,"Prowse, Sandford, Devon, England",1666-10-09,1666,Colony of Rhode Island,https://www.wikitree.com/wiki/Gye-3
Hamby-3,Katherine,Katherine,,Hamby,1615-12-10,1615,"Ipswich, Suffolk, England",1650-00-00,1650,"Boston, Suffolk, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Hamby-3
Harlakenden-15,Mabel,Mabel,,Harlakenden,1614-12-27,1614,"Earls Colne, Essex, England",1655-07-00,1655,"Hartford, Connecticut",https://www.wikitree.com/wiki/Harlakenden-15
Harlakenden-1,Roger,Roger,,Harlakenden,1611-10-01,1611,"Earls Colne, Essex, England",1638-11-17,1638,"Cambridge, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Harlakenden-1
Harleston-17,Elizabeth,Elizabeth,,Harleston,1672-00-00,1672,England,1720-08-31,1720,"St. James Parish, Berkeley County, South Carolina",https://www.wikitree.com/wiki/Harleston-17
Harleston-16,John,John,,Harleston,1670-00-00,1670,England,1738-11-00,1738,"St. John Parish, Berkeley, Province of South Carolina",https://www.wikitree.com/wiki/Harleston-16
Harris-880,Agnes,Agnes,,Harris,1604-04-06,1604,"Barnstaple, Devon, England",1680-00-00,1680,"Hartford, Hartford, Connecticut Colony",https://www.wikitree.com/wiki/Harris-880
Hawes-23,Edmund,Edmund,,Hawes,1612-10-15,1612,"Solihull, Warwickshire, England",1693-06-09,1693,"Yarmouth, Massachusetts Bay",https://www.wikitree.com/wiki/Hawes-23
Haynes-2099,Elizabeth,Elizabeth,,Haynes,1624-10-19,1624,"Hingham, Norfolk, England",1659-01-00,1659,England,https://www.wikitree.com/wiki/Haynes-2099
Horsmanden-14,Warham,Warham,,Horsmanden,1628-09-05,1628,"Ulcombe, Kent, England",1691-11-10,1691,"Purleigh, Essex, England",https://www.wikitree.com/wiki/Horsmanden-14
Houstoun-5,Patrick,Patrick,,Houstoun,1697-06-24,1697,"Glasgow, Lanarkshire, Scotland",1762-02-05,1762,"Savannah, Georgia",https://www.wikitree.com/wiki/Houstoun-5
Howell-151,Edward,Edward,,Howell,1584-07-26,1584,"Marsh Gibbon, Buckinghamshire, England",1655-10-06,1655,"Southampton, Suffolk, New York",https://www.wikitree.com/wiki/Howell-151
Hoyle-324,Edward,Edward,,Hoyle,1641-08-01,1641,"Yorkshire, England",1678-00-00,1678,Virginia Colony,https://www.wikitree.com/wiki/Hoyle-324
Humphrey-70,Anne,Anne,,Humphrey,1625-08-21,1625,"Fordington, Dorset, England",1693-12-17,1693,"Swansea, Bristol, Massachusetts",https://www.wikitree.com/wiki/Humphrey-70
Humphrey-2315,Benjamin,Benjamin,,Humphrey,1662-07-00,1662,"Parish of Llangelynin, Merionethshire, Wales",1738-11-04,1738,"Marion, Pennsylvania",https://www.wikitree.com/wiki/Humphrey-2315
Humphrey-1929,Daniel,Daniel,,Humphrey,1660-08-05,1660,"Llangelynin, Merionethshire, Wales",1735-04-07,1735,"Haverford Township, Chester, Pennsylvania",https://www.wikitree.com/wiki/Humphrey-1929
Humphrey-2359,Lydia,Lydia,,Humphrey,1659-03-28,1659,"Llangelynin, Merionethshire, Wales",1742-12-00,1742,"Easttown Twp., Chester, Pennsylvania",https://www.wikitree.com/wiki/Humphrey-2359
Iremonger-24,Francis,Francis,,Iremonger,1635-06-17,1635,"Donnington, Berkshire, England",1723-00-00,1723,"Gloucester County, Virginia",https://www.wikitree.com/wiki/Iremonger-24
Iremonger-40,Martha,Martha,,Iremonger,1638-00-00,1638,"Donnington, Berkshire, England",1681-00-00,1681,"Northumberland County, Virginia",https://www.wikitree.com/wiki/Iremonger-40
Ironmonger-2,William,William,,Ironmonger,1630-00-00,1630,"Berkshire, England",1695-08-30,1695,"Gloucester County, Colony of Virginia",https://www.wikitree.com/wiki/Ironmonger-2
Isham-12,Henry,Henry,,Isham,1627-00-00,1627,"Northamptonshire, England",1677-09-11,1677,"Bermuda Hundred, Henrico County, Virginia",https://www.wikitree.com/wiki/Isham-12
James-1565,Thomas,Thomas,,James,1621-02-13,1621,"Moulton, Lincolnshire, England",1696-06-16,1696,"East Hampton, Suffolk, New York",https://www.wikitree.com/wiki/James-1565
Jennings-359,Edmund,Edmund,,Jennings,1659-00-00,1659,England,1727-07-05,1727,Virginia,https://www.wikitree.com/wiki/Jennings-359
Kempe-157,Edmund,Edmund,,Kempe,1626-00-00,1626,England,1660-00-00,1660,"Lancaster County, Virginia Colony",https://www.wikitree.com/wiki/Kempe-157
Kempe-87,Matthew,Matthew,,Kempe,1630-00-00,1630,England,1683-05-23,1683,"Gloucester, Colony of Virginia",https://www.wikitree.com/wiki/Kempe-87
Kempe-66,Richard,Richard,,Kempe,1600-00-00,1600,"Gissing, Norfolk, England",1650-01-04,1650,"Rich Neck Plantation, James City County, Virginia Colony",https://www.wikitree.com/wiki/Kempe-66
Knapp-202,Judith,Judith,,Knapp,1590-00-00,1590,"Ipswich, Suffolk, England",1657-05-20,1657,"Ipswich, Essex, Massachusetts",https://www.wikitree.com/wiki/Knapp-202
Launce-4,Mary,Mary,,Launce,1625-00-00,1625,"Cornwall, England",1710-03-09,1710,"Watertown, Middlesex, Massachusetts",https://www.wikitree.com/wiki/Launce-4
Levis-66,Hannah,Hannah,,Levis,1663-09-30,1663,"Harby, Leicestershire, England",1705-05-26,1705,Pennsylvania,https://www.wikitree.com/wiki/Levis-66
Levis-65,Samuel,Samuel,,Levis,1649-09-30,1649,"Harby, Leicestershire, England",1734-03-00,1734,"Springfield, Delaware, Pennsylvania",https://www.wikitree.com/wiki/Levis-65
Levis-54,Sarah,Sarah,,Levis,1663-09-30,1663,"Harby, Leicestershire, England",1701-03-23,1701,"Darby, Chester, Pennsylvania",https://www.wikitree.com/wiki/Levis-54
Lightfoot-92,John,John,,Lightfoot,1627-12-09,1627,"London, England",1687-03-07,1687,Kolonie Suriname,https://www.wikitree.com/wiki/Lightfoot-92
Lightfoot-255,Philip,Philip,,Lightfoot,1642-03-01,1642,"Teddington, Middlesex, England",1708-00-00,1708,"Charles City County, Virginia",https://www.wikitree.com/wiki/Lightfoot-255
Ligon-76,Thomas,Thomas,,Ligon,1624-01-11,1624,"Walsgrave on Sowe, Warwickshire, England",1676-03-16,1676,"Henrico County, Colony of Virginia",https://www.wikitree.com/wiki/Ligon-76
Littleton-208,Nathaniel,Nathaniel,,Littleton,1605-12-22,1605,"Hopton Castle, Shropshire, England",1654-00-00,1654,"Nandua Creek, Accomack County, Colony of Virginia",https://www.wikitree.com/wiki/Littleton-208
Lloyd-177,Thomas,Thomas,,Lloyd,1641-02-17,1641,"Dolobran, Meifod, Montgomeryshire, Wales",1694-09-10,1694,"Philadelphia, Philadelphia, Pennsylvania",https://www.wikitree.com/wiki/Lloyd-177
Lovelace-8,Anne,Anne,,Lovelace,1611-00-00,1611,"Kent, England",1652-06-02,1652,"Lancaster County, Virginia Colony",https://www.wikitree.com/wiki/Lovelace-8
Lovelace-279,Thomas,Thomas,,Lovelace,1619-00-00,1619,"Kent, England",1689-00-00,1689,"Staten Island, New York",https://www.wikitree.com/wiki/Lovelace-279
Lowe-336,Henry,Henry,,Lowe,1652-07-10,1652,"Denby, Derbyshire, England",1717-11-14,1717,"St. Mary's, Maryland",https://www.wikitree.com/wiki/Lowe-336
Lowe-1413,Jane,Jane,,Lowe,1633-10-14,1633,"Derbyshire, England",1701-01-19,1701,"Middlesex, England",https://www.wikitree.com/wiki/Lowe-1413
Lowe-3199,Nicholas,Nicholas,,Lowe,1651-04-30,1651,"Denby, Derbyshire, England",1714-10-22,1714,"Talbot County, Maryland",https://www.wikitree.com/wiki/Lowe-3199
Lowe-3213,Vincent,Vincent,,Lowe,1632-09-30,1632,"Denby, Derbyshire, England",1692-10-20,1692,"Talbot, Maryland",https://www.wikitree.com/wiki/Lowe-3213
Lowell-227,Percival,Percival,,Lowell,1570-00-00,1570,"Portbury, Somerset, England",1665-01-08,1665,"Newbury, Essex, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Lowell-227
Ludlow-97,Gabriel,Gabriel,,Ludlow,1663-11-02,1663,"Castle Cary, Somerset, England",1736-00-00,1736,,https://www.wikitree.com/wiki/Ludlow-97
Ludlow-37,Roger,Roger,,Ludlow,1590-03-07,1590,"Dinton, Wiltshire, England",1666-00-00,1666,"Dublin, Ireland",https://www.wikitree.com/wiki/Ludlow-37
Ludlow-6,Sarah,Sarah,,Ludlow,1635-00-00,1635,"Maiden Bradley, Wiltshire, England",1668-06-10,1668,"Corotoman, Lancaster, Colony of Virginia",https://www.wikitree.com/wiki/Ludlow-6
Lunsford-515,Thomas,Thomas,,Lunsford,1604-02-07,1604,"Sussex, England",1654-01-11,1654,Virginia,https://www.wikitree.com/wiki/Lunsford-515
Lynde-74,Simon,Simon,,Lynde,1624-06-00,1624,"London, England",1687-11-22,1687,"Boston, Suffolk, Massachusetts",https://www.wikitree.com/wiki/Lynde-74
Mackworth-76,Agnes,Agnes,,Mackworth,1607-00-00,1607,"Shropshire, England",1673-00-00,1673,England,https://www.wikitree.com/wiki/Mackworth-76
Mainwaring-374,Mary,Mary,,Mainwaring,1590-00-00,1590,England,0000-00-00,,Maryland,https://www.wikitree.com/wiki/Mainwaring-374
Mallory-116,Roger,Roger,,Mallory,1637-00-00,1637,"Cheshire, England",1695-12-22,1695,"New Kent County, Colony of Virginia",https://www.wikitree.com/wiki/Mallory-116
Mallory-398,Thomas,Thomas,,Mallory,1636-00-00,1636,"Cheshire, England",1678-04-15,1678,"Charles City County, Colony of Virginia",https://www.wikitree.com/wiki/Mallory-398
Mansfield-151,Anne,Anne,,Mansfield,1596-00-00,1596,England,1667-00-00,1667,"Boston, Massachusetts",https://www.wikitree.com/wiki/Mansfield-151
Mansfield-30,Elizabeth,Elizabeth,,Mansfield,1592-12-03,1592,"Henley-on-Thames, Oxfordshire, England",1658-00-00,1658,"Boston, Massachusetts",https://www.wikitree.com/wiki/Mansfield-30
